,coord_lon,coord_lat,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_message,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,main_sea_level,main_grnd_level,rain_1h,wind_gust,message,rain_3h,snow_3h,cities
1,-126.83,65.28,803,Clouds,broken clouds,04n,stations,282.15,1007,61,282.15,282.15,48279,1,80,75,1569906476,1,951,0.0091,CA,1569854032,1569895239,-21600,6089245,Norman Wells,200,,,,,,,,norman wells
1,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,city not found,,,taolanaro
1,-48.61,-23.1,800,Clear,clear sky,01n,stations,288.1,1013.24,88,288.1,288.1,,3.6,118.613,0,1569906477,,,0.0054,BR,1569920109,1569964384,-10800,3460594,Itatinga,200,1013.24,931.54,,,,,,itatinga
1,39.51,68.05,804,Clouds,overcast clouds,04d,stations,278,998.63,97,278,278,,5.74,73.37,100,1569906478,,,0.007,RU,1569900778,1569941428,10800,556268,Ostrovnoy,200,998.63,981.64,,,,,,ostrovnoy
1,63.78,67.55,804,Clouds,overcast clouds,04d,stations,275.1,1000.23,86,275.1,275.1,,4.22,166.095,100,1569906478,,,0.0083,RU,1569894906,1569935653,10800,1486910,Komsomolskiy,200,1000.23,979.35,,,,,,komsomolskiy
1,37.59,15.11,500,Rain,light rain,10d,stations,295.5,1014.87,79,295.5,295.5,,2.36,209.017,100,1569906479,,,0.0066,ER,1569899954,1569943174,10800,342711,Barentu,200,1014.87,908.52,,,,0.126,,barentu
1,-80.82,-5.56,803,Clouds,broken clouds,04n,stations,290.9,1013.78,89,290.9,290.9,,4.18,160.931,83,1569906479,,,0.0053,PE,1569928101,1569971850,-18000,3691954,Sechura,200,1013.78,1013.49,,,,,,sechura
1,-173.23,64.42,804,Clouds,overcast clouds,04n,stations,279.15,1012,87,279.15,279.15,10000,4,200,90,1569906480,1,8875,0.0072,RU,1569951724,1569992573,43200,4031574,Provideniya,200,,,,,,,,provideniya
1,167.42,-16.11,500,Rain,light rain,10d,stations,299.15,1015,100,299.15,299.15,,3.6,140,63,1569906481,1,7310,0.0067,VU,1569868403,1569912420,39600,2136697,Lakatoro,200,,,,,,0.876,,lakatoro
1,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,city not found,,,illoqqortoormiut
1,-7.36,4.42,500,Rain,light rain,10n,stations,296.5,1010.89,97,296.5,296.5,,1.53,232.71,98,1569906482,,,0.0075,CI,1569910606,1569954092,0,2281120,Tabou,200,1010.89,1007.91,,,,1,,tabou
1,-57.76,-6.22,500,Rain,light rain,10n,stations,295.6,1007.1,96,295.6,295.6,,1.03,68.074,97,1569906482,,,0.0072,BR,1569922559,1569966325,-10800,3397763,Jacareacanga,200,1007.1,986.21,,,,0.438,,jacareacanga
1,128.87,71.64,804,Clouds,overcast clouds,04d,stations,270.5,1003.16,88,270.5,270.5,,11.43,277.458,100,1569906483,,,0.0079,RU,1569879555,1569919768,32400,2015306,Tiksi,200,1003.16,990.47,,,,,,tiksi
1,-41.05,-21.64,804,Clouds,overcast clouds,04n,stations,291.5,1018.13,92,291.5,291.5,,1.61,134.546,99,1569906483,,,0.0062,BR,1569918321,1569962545,-10800,3448903,Sao Joao da Barra,200,1018.13,1006.89,,,,,,sao joao da barra
1,-77.74,39.62,701,Mist,mist,50n,stations,291.95,1022,82,290.93,293.15,16093,1.65,149.203,90,1569906483,1,4074,0.0098,US,1569928005,1569970467,-14400,4372777,Vardo,200,,,,,,,,vardo
1,-155.08,19.71,502,Rain,heavy intensity rain,10n,stations,295.48,1014,74,293.71,299.15,2816,2.1,,90,1569906484,1,7881,0.007,US,1569859847,1569902980,-36000,5855927,Hilo,200,,,0.76,,,,,hilo
1,-99.24,30.3,803,Clouds,broken clouds,04n,stations,298.5,1016,74,297.59,299.26,16093,4.1,160,75,1569906484,1,5990,0.0089,US,1569933011,1569975780,-18000,4696310,Harper,200,,,,8.2,,,,harper
1,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,city not found,,,mys shmidta
1,-22.43,63.84,802,Clouds,scattered clouds,03n,stations,278.15,1018,100,278.15,278.15,10000,3.1,130,40,1569906486,1,90,0.0061,IS,1569915429,1569956501,0,3416888,Grindavik,200,,,,,,,,grindavik
1,-69.36,77.48,500,Rain,light rain,10n,stations,274.5,1015.21,96,274.5,274.5,,4.77,80.913,100,1569906486,,,0.0085,GL,1569928125,1569966326,-10800,3831208,Qaanaaq,200,1015.21,977.35,,,,0.375,,qaanaaq
1,105.25,56.85,804,Clouds,overcast clouds,04d,stations,276.3,1023.84,79,276.3,276.3,,3.61,304.924,94,1569906486,,,0.0071,RU,1569884453,1569926205,28800,2055868,Yantal,200,1023.84,961.8,,,,,,yantal
1,-82.8,21.88,500,Rain,light rain,10n,stations,300.7,1009.69,78,300.7,300.7,,10.24,61.823,6,1569906487,,,0.0057,CU,1569928941,1569971960,-14400,3545867,Nueva Gerona,200,1009.69,1009.21,,,,0.5,,nueva gerona
